Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,6.3,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,46,NA,NA,x,xxxx,xx,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum dicoccum,Triticum dicoccum,NA,11.2,NA,NA,x,xx,x,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum monococcum,Triticum monococcum,NA,7.6,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum cf. Spelta,Triticum cf. Spelta,NA,14.4,NA,NA,x,xxx,x,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,7.6,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Panicum miliaceum,Panicum miliaceum,NA,0.8,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sp.,Avena sp.,NA,6.2,NA,NA,x,x,x,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,1,Unknown,"Robinson 2003, Table 3",Hordeum vulgare,Hordeum vulgare,NA,50,6.5,NA,x,x,xxx,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum spelta,Triticum spelta,NA,27.5,22,NA,x,xxxx,xx,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum dicoccum,Triticum dicoccum,NA,15,2,NA,x,x,x,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Linum usitatissimum,Linum usitatissimum,NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3","Hordeum nudum (rachis, glumes)",Hordeum nudum,NA,11.5,1.5,NA,x,xxx,x,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3","Hordeum vulgare (rachis, glumes)",Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,1,Unknown,"Robinson 2003, Table 3",Hordeum vulgare,Hordeum vulgare,NA,37.5,56.5,NA,x,x,xx,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum spelta,Triticum spelta,NA,0.5,1,NA,0,0,x,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum dicoccum,Triticum dicoccum,NA,14.5,22,NA,x,x,x,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Linum usitatissimum,Linum usitatissimum,NA,79.5,708,NA,x,xxxx,xxxx,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3","Hordeum nudum (rachis, glumes)",Hordeum nudum,NA,10,15,NA,x,xx,x,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3","Hordeum vulgare (rachis, glumes)",Hordeum vulgare (hulled),NA,0.5,1,NA,x,x,x,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Avena sp.,Avena sp.,NA,3,NA,NA,x,x,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Camelina sativa,Camelina sativa,NA,1.5,NA,NA,x,x,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Hordeum nudum,Hordeum nudum,NA,24,NA,NA,x,xxx,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Hordeum vulgare,Hordeum vulgare,NA,15,NA,NA,x,xx,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Panicum miliaceum,Panicum miliaceum,NA,1.5,NA,NA,x,x,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Secale cereale,Secale cereale,NA,1.5,NA,NA,x,x,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Triticum dicoccum,Triticum dicoccum,NA,25,NA,NA,x,xxxx,xx,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Triticum spelta,Triticum spelta,NA,21,NA,NA,x,xxx,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,3,NA,NA,x,x,x,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Triticum monococcum,Triticum monococcum,NA,4.5,NA,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare,Hordeum vulgare,NA,39,74,NA,x,xxxx,xx,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Hordeum nudum,Hordeum nudum,NA,22,41,NA,x,xxx,x,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,1,2,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0.5,1,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,4,8,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,1,2,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,5,10,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,1,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare,Hordeum vulgare,NA,13,9,NA,x,xx,x,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum nudum,Hordeum nudum,NA,81,57,NA,x,xxxx,xxxx,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,0,0,NA,0,0,0,NA,NA
DK,Middle Jutland,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,53.9,NA,NA,x,xxxx,xxx,NA,NA
DK,Middle Jutland,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum dicoccum,Triticum dicoccum,NA,23,NA,NA,x,xxx,x,NA,NA
DK,Middle Jutland,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum cf. Spelta,Triticum cf. Spelta,NA,9.4,NA,NA,x,x,x,NA,NA
DK,Middle Jutland,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,7.8,NA,NA,x,x,x,NA,NA
DK,Middle Jutland,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sp.,Avena sp.,NA,7.8,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,1,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,9.8,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,24.7,NA,NA,x,xxxx,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum dicoccum,Triticum dicoccum,NA,18.1,NA,NA,x,xxx,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum monococcum,Triticum monococcum,NA,2.5,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum cf. Spelta,Triticum cf. Spelta,NA,17,NA,NA,x,xxx,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,18.2,NA,NA,x,xxx,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Panicum miliaceum,Panicum miliaceum,NA,0.3,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sp.,Avena sp.,NA,0.2,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Avena fatua,Avena sp.,NA,1.7,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 31",Secale cereale,Secale cereale,NA,1.4,NA,NA,x,x,x,NA,NA
G,Brandenburg,LBA,1100-600,1,Unknown,"Effenberger 2018, Abb. 30",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,11.4,NA,NA,x,xx,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,14.7,NA,NA,x,xx,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum dicoccum,Triticum dicoccum,NA,28.7,NA,NA,x,xxxx,xx,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum monococcum,Triticum monococcum,NA,3.2,NA,NA,x,x,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum spelta,Triticum spelta,NA,5.1,NA,NA,x,x,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,8.7,NA,NA,x,x,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Panicum miliaceum,Panicum miliaceum,NA,19.8,NA,NA,x,xxx,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Avena sp.,Avena sp.,NA,5.2,NA,NA,x,x,x,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Avena sativa,Avena sativa,NA,5.1,NA,NA,x,x,x,NA,NA
G,Harz Area,LBA,1100-600,1,Unknown,"Effenberger 2018, Abb. 30",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,19.2,NA,NA,x,xxx,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,1.6,NA,NA,x,x,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum dicoccum,Triticum dicoccum,NA,24.1,NA,NA,x,xxxx,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum monococcum,Triticum monococcum,NA,8.2,NA,NA,x,x,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum spelta,Triticum spelta,NA,6.5,NA,NA,x,x,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,6.6,NA,NA,x,x,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Panicum miliaceum,Panicum miliaceum,NA,24.1,NA,NA,x,xxxx,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Setaria italica,Setaria italica,NA,3.3,NA,NA,x,x,x,NA,NA
G,Harz Area,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Avena sp.,Avena sp.,NA,6.3,NA,NA,x,x,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,21.2,NA,NA,x,xxxx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,15.7,NA,NA,x,xxx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum dicoccum,Triticum dicoccum,NA,10.1,NA,NA,x,xx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum spelta,Triticum spelta,NA,10,NA,NA,x,xx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,9.8,NA,NA,x,xx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Panicum miliaceum,Panicum miliaceum,NA,15.7,NA,NA,x,xxx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Setaria italica,Setaria italica,NA,3.2,NA,NA,x,x,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Avena sp.,Avena sp.,NA,8.6,NA,NA,x,xx,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Avena fatua,Avena sp.,NA,1.2,NA,NA,x,x,x,NA,NA
G,Mecklenburg-Vorpommern,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 30",Avena sativa,Avena sativa,NA,1.6,NA,NA,x,x,x,NA,NA
